163,358,triton,al122989,38199/01921,IV,---,06/01/2022,07/01/2022,1,23,13.51,11,1.09,0.44,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1,0.4370833333333333
19,613,triskel2,al127228,38199/00561,V,---,28/01/2022,28/01/2022,0,23,4.59,15,12.00,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_STORAGE,0,0
87,527,triskel2,al127228,38199/00561,III,---,17/01/2022,18/01/2022,1,23,9.86,38,0.52,0.59,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_STORAGE,1,0.5891666666666667
26,605,mtblanc60,al109469,37999/37834,IV,---,27/01/2022,27/01/2022,0,3,10.29,3,0.67,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
21,606,mtblanc60,al109469,37999/37834,IV,---,27/01/2022,28/01/2022,1,3,12.27,3,0.80,0.49,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1,0.48875
22,603,rubicon,al118143,31499/01553,V,---,27/01/2022,28/01/2022,1,4,2.58,9,0.17,0.89,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,1,0.8925000000000001
148,461,rubicon,al118143,31499/01553,IV,---,10/01/2022,11/01/2022,1,3,16.73,119,0.90,0.30,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,1,0.30291666666666667
140,473,rubicon,al118143,31499/01553,IV,---,11/01/2022,12/01/2022,1,3,15.00,119,1.70,0.38,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,1,0.375
29,599,capa2sing,al121440,38199/01906,II,---,26/01/2022,26/01/2022,0,11,10.17,15,0.61,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
23,609,capa2sing,al121440,38199/01906,II,---,27/01/2022,28/01/2022,1,11,6.46,15,1.30,0.73,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1,0.7308333333333333
25,610,corte,al104050,38199/01284,II,---,27/01/2022,27/01/2022,0,22,7.05,23,0.68,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_ACTIVE_MEMORY,0,0
24,611,corte,al104050,38199/01284,II,---,27/01/2022,28/01/2022,1,22,3.17,27,0.90,0.87,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_ACTIVE_MEMORY,1,0.8679166666666666
