8,415,triton,al114904,37999/38818,VI,---,23/12/2021,24/12/2021,1,3,3.94,41,0.67,0.84,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
165,234,corte,al112603,37999/00881,IV,---,10/12/2021,13/12/2021,3,2,2.75,5,0.45,2.89,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_BEYOND_CMOS,3
151,233,corte,al112603,37999/00881,IV,---,10/12/2021,14/12/2021,4,2,10.02,5,0.54,3.58,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_BEYOND_CMOS,1
157,232,corte,al112603,37999/00881,IV,---,10/12/2021,14/12/2021,4,2,10.07,5,0.54,3.58,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_BEYOND_CMOS,0
7,365,corte,al112603,37999/00881,IV,---,17/12/2021,23/12/2021,6,7,23.62,10,0.49,5.02,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_BEYOND_CMOS,0
214,221,corte,al112603,37999/00881,II,---,09/12/2021,09/12/2021,0,7,9.56,126,0.51,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_BEYOND_CMOS,0
276,121,corte,al112603,37999/00881,III,---,03/12/2021,04/12/2021,1,7,6.64,13,0.53,0.72,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_BEYOND_CMOS,1
279,120,corte,al112603,37999/00881,III,---,03/12/2021,04/12/2021,1,7,2.93,12,0.44,0.88,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_BEYOND_CMOS,0
258,176,corte,al112603,37999/00881,III,---,05/12/2021,05/12/2021,0,7,10.03,126,0.54,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_BEYOND_CMOS,0
9,426,ev2prb60,al119134,37999/01556,VI,---,23/12/2021,24/12/2021,1,6,1.27,23,0.57,0.95,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,1
178,222,mtblanc60,al109469,37999/37834,V,---,09/12/2021,11/12/2021,2,22,1.65,27,0.83,1.93,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,2
163,243,mtblanc60,al109469,37999/37834,V,---,10/12/2021,13/12/2021,3,3,53.06,3,0.52,0.79,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,2
111,324,mtblanc60,al109469,37999/37834,V,---,15/12/2021,16/12/2021,1,2,0.85,19,1.25,0.96,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
112,323,mtblanc60,al109469,37999/37834,V,---,15/12/2021,16/12/2021,1,5,0.98,27,0.71,0.96,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
13,405,mtblanc60,al109469,37999/37834,V,---,20/12/2021,23/12/2021,3,3,2.56,19,0.98,2.89,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
14,404,mtblanc60,al109469,37999/37834,V,---,20/12/2021,23/12/2021,3,3,2.64,19,1.02,2.89,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
17,410,mtblanc60,al109469,37999/37834,V,---,20/12/2021,23/12/2021,3,2,1.52,19,1.15,2.94,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
18,409,mtblanc60,al109469,37999/37834,V,---,20/12/2021,23/12/2021,3,2,1.38,19,1.05,2.94,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
21,407,mtblanc60,al109469,37999/37834,V,---,20/12/2021,23/12/2021,3,3,2.73,19,1.06,2.89,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
22,408,mtblanc60,al109469,37999/37834,V,---,20/12/2021,23/12/2021,3,2,1.38,19,1.02,2.94,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
24,406,mtblanc60,al109469,37999/37834,V,---,20/12/2021,23/12/2021,3,3,2.73,19,1.06,2.89,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
26,429,mtblanc60,al109469,37999/37834,V,---,22/12/2021,23/12/2021,1,9,3.93,23,1.18,0.84,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
28,428,mtblanc60,al109469,37999/37834,V,---,22/12/2021,23/12/2021,1,2,0.34,19,1.43,0.99,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
29,413,mtblanc60,al109469,37999/37834,V,---,20/12/2021,23/12/2021,3,3,8.20,69,0.59,2.66,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
10,411,mtblanc60,al109469,37999/37834,V,---,20/12/2021,24/12/2021,4,2,2.52,19,1.90,3.89,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1
66,387,mtblanc60,al109469,37999/37834,IV,---,18/12/2021,19/12/2021,1,5,2.74,19,1.65,0.89,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1
70,389,mtblanc60,al109469,37999/37834,IV,---,18/12/2021,19/12/2021,1,3,5.00,17,0.56,0.79,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
72,386,mtblanc60,al109469,37999/37834,IV,---,18/12/2021,19/12/2021,1,2,1.48,19,0.34,0.94,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
52,402,mtblanc60,al109469,37999/37834,IV,---,19/12/2021,20/12/2021,1,3,3.33,19,1.67,0.86,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
54,388,mtblanc60,al109469,37999/37834,IV,---,18/12/2021,20/12/2021,2,3,6.69,17,0.74,1.72,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
263,139,mtblanc60,al109469,37999/37834,II,---,02/12/2021,05/12/2021,3,3,1.53,19,1.55,2.94,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,3
265,138,mtblanc60,al109469,37999/37834,II,---,02/12/2021,05/12/2021,3,3,4.10,19,0.99,2.83,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
268,137,mtblanc60,al109469,37999/37834,II,---,02/12/2021,05/12/2021,3,3,2.43,19,0.38,2.90,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
271,136,mtblanc60,al109469,37999/37834,II,---,02/12/2021,05/12/2021,3,22,8.39,19,1.10,2.65,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
229,145,mtblanc60,al109469,37999/37834,II,---,03/12/2021,08/12/2021,5,3,8.64,9,1.01,4.64,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,3
233,141,mtblanc60,al109469,37999/37834,II,---,02/12/2021,08/12/2021,6,3,3.92,19,0.48,5.84,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
236,140,mtblanc60,al109469,37999/37834,II,---,02/12/2021,08/12/2021,6,3,65.01,46,1.26,3.29,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
219,168,mtblanc60,al109469,37999/37834,II,---,06/12/2021,09/12/2021,3,3,3.72,19,0.89,2.85,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1
11,335,tritonctl,al112446/3,31499/00737,II,---,15/12/2021,24/12/2021,9,4,9.48,20,1.04,8.60,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,9
254,090,tritonctl,al112446/3,31499/00737,V,---,05/12/2021,06/12/2021,1,6,2.58,4,0.96,0.89,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1
304,114,mb2mir,al011046,37999/38821,VI,-P-,30/11/2021,01/12/2021,1,2,2.20,17,0.65,0.91,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1
305,113,mb2mir,al011046,37999/38821,VI,-P-,30/11/2021,01/12/2021,1,2,2.40,17,0.71,0.90,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
306,117,mb2mir,al011046,37999/38821,VI,-P-,30/11/2021,01/12/2021,1,2,4.43,25,0.80,0.82,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
289,115,mb2mir,al011046,37999/38821,VI,-P-,03/12/2021,03/12/2021,0,5,8.31,25,0.76,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
290,116,mb2mir,al011046,37999/38821,VI,-P-,02/12/2021,03/12/2021,1,5,13.03,25,0.75,0.46,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
283,162,mb2mir,al011046,37999/38821,VI,-P-,03/12/2021,04/12/2021,1,2,4.55,37,0.48,0.81,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
259,177,mb2mir,al011046,37999/38821,VI,-P-,05/12/2021,05/12/2021,0,3,0.33,11,1.17,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
260,185,mb2mir,al011046,37999/38821,VI,-P-,05/12/2021,05/12/2021,0,3,6.68,37,0.47,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
266,155,mb2mir,al011046,37999/38821,VI,-P-,04/12/2021,05/12/2021,1,2,0.22,9,1.20,0.99,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
267,157,mb2mir,al011046,37999/38821,VI,-P-,04/12/2021,05/12/2021,1,1,2.85,27,0.76,0.88,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
269,158,mb2mir,al011046,37999/38821,VI,-P-,04/12/2021,05/12/2021,1,1,1.32,18,0.74,0.94,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
272,159,mb2mir,al011046,37999/38821,VI,-P-,04/12/2021,05/12/2021,1,1,1.19,18,0.66,0.95,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
273,156,mb2mir,al011046,37999/38821,VI,-P-,04/12/2021,05/12/2021,1,1,2.46,27,0.80,0.90,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
238,178,mb2mir,al011046,37999/38821,VI,-P-,05/12/2021,07/12/2021,2,1,0.13,9,1.60,1.99,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
239,181,mb2mir,al011046,37999/38821,VI,-P-,05/12/2021,07/12/2021,2,1,2.86,27,0.76,1.88,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
240,182,mb2mir,al011046,37999/38821,VI,-P-,05/12/2021,07/12/2021,2,1,1.30,18,0.73,1.95,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
241,183,mb2mir,al011046,37999/38821,VI,-P-,05/12/2021,07/12/2021,2,1,1.20,18,0.67,1.95,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
242,179,mb2mir,al011046,37999/38821,VI,-P-,05/12/2021,07/12/2021,2,1,2.45,27,0.79,1.90,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
218,215,mb2mir,al011046,37999/38821,VI,-P-,07/12/2021,09/12/2021,2,5,6.63,25,0.36,1.72,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
197,235,mb2mir,al011046,37999/38821,VI,-P-,10/12/2021,10/12/2021,0,2,0.52,12,1.23,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
199,236,mb2mir,al011046,37999/38821,VI,-P-,10/12/2021,10/12/2021,0,3,0.78,12,1.23,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
200,237,mb2mir,al011046,37999/38821,VI,-P-,10/12/2021,10/12/2021,0,5,2.09,22,0.56,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
189,240,mb2mir,al011046,37999/38821,VI,-P-,10/12/2021,11/12/2021,1,2,0.25,12,0.62,0.99,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
190,241,mb2mir,al011046,37999/38821,VI,-P-,10/12/2021,11/12/2021,1,3,0.34,12,0.54,0.99,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
